trade_time,open,high,low,close,volume
2025-06-16 09:35:00,1401.2,1408.0,1401.18,1405.97,7684
2025-06-16 09:40:00,1405.6,1409.6,1405.18,1408.78,2747
2025-06-16 09:45:00,1408.8,1415.8,1408.0,1415.5,2009
2025-06-16 09:50:00,1415.48,1416.88,1407.78,1410.98,2113
2025-06-16 09:55:00,1410.98,1412.01,1408.99,1409.67,959
2025-06-16 10:00:00,1409.46,1409.67,1407.0,1409.13,1108
2025-06-16 10:05:00,1409.17,1415.4,1409.17,1414.86,826
2025-06-16 10:10:00,1414.64,1414.64,1412.99,1413.52,860
2025-06-16 10:15:00,1413.73,1413.75,1411.56,1412.82,863
2025-06-16 10:20:00,1412.69,1418.99,1412.12,1418.88,1371
2025-06-16 10:25:00,1418.88,1419.46,1416.89,1418.78,841
2025-06-16 10:30:00,1418.82,1422.72,1418.82,1420.5,1084
2025-06-16 10:35:00,1420.5,1421.01,1418.4,1418.4,595
2025-06-16 10:40:00,1418.2,1418.34,1415.08,1415.97,647
2025-06-16 10:45:00,1415.97,1415.98,1414.15,1414.94,433
2025-06-16 10:50:00,1414.89,1417.82,1414.8,1417.05,462
2025-06-16 10:55:00,1417.6,1418.84,1415.86,1416.14,503
2025-06-16 11:00:00,1416.0,1416.2,1415.97,1416.02,442
2025-06-16 11:05:00,1415.77,1415.97,1413.92,1413.92,405
2025-06-16 11:10:00,1413.93,1415.91,1413.91,1414.99,499
2025-06-16 11:15:00,1414.99,1414.99,1412.78,1413.91,496
2025-06-16 11:20:00,1413.9,1413.9,1413.48,1413.84,366
2025-06-16 11:25:00,1413.83,1413.85,1413.71,1413.72,326
2025-06-16 11:30:00,1413.72,1413.85,1413.72,1413.84,355
2025-06-16 13:05:00,1413.8,1417.78,1412.43,1417.69,1386
2025-06-16 13:10:00,1417.69,1417.92,1417.69,1417.88,493
2025-06-16 13:15:00,1417.88,1418.0,1416.04,1416.04,488
2025-06-16 13:20:00,1416.17,1416.17,1415.0,1415.07,415
2025-06-16 13:25:00,1415.07,1416.87,1415.03,1416.06,424
2025-06-16 13:30:00,1416.07,1416.85,1415.53,1416.0,433
2025-06-16 13:35:00,1416.2,1416.2,1415.18,1415.27,419
2025-06-16 13:40:00,1415.27,1415.29,1412.86,1412.98,758
2025-06-16 13:45:00,1412.86,1412.99,1412.3,1412.79,390
2025-06-16 13:50:00,1412.79,1412.8,1411.6,1412.64,514
2025-06-16 13:55:00,1412.68,1415.58,1412.68,1414.33,444
2025-06-16 14:00:00,1414.32,1416.72,1414.32,1416.7,560
2025-06-16 14:05:00,1416.79,1419.98,1416.74,1418.5,656
2025-06-16 14:10:00,1418.08,1418.58,1418.08,1418.1,464
